experiment,scenario,selector,N,seed,selected_candidate_id,selected_object_score,selected_real_utility,identity_error,swap_rate,merge_split_rate,property_error,property_entropy,occlusion_error,object_real_gap,candidate_mean_score,candidate_mean_real_utility,candidate_best_real_utility,regret,oracle_gap,upper_tail_rank_correlation,repair_tier,uses_real_utility_features,uses_hidden_features,hyperparameter_source,split_seed,final_test
F_high_n_stress,merge_split,random,64,25,54,0.8289274287742361,0.5249740864814665,0.0,0.0,1.0,0.0,0.17485024243203032,0.0,0.3039533422927696,0.6217078935672236,0.6150028484323702,0.9278226179426391,0.4028485314611726,0.4028485314611726,-0.6768661133082086,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,merge_split,oracle,64,25,15,0.9278226179426391,0.9278226179426391,0.0,0.0,0.0,0.0,0.17680274325091042,0.0,0.0,0.6217078935672236,0.6150028484323702,0.9278226179426391,0.0,0.0,-0.6768661133082086,oracle_upper_bound,True,True,eval_oracle,-1,0
F_high_n_stress,raw,raw,64,26,30,1.35,0.0,1.0,1.0,1.0,1.0,0.7104576415528432,1.0,1.35,0.7808569955649145,0.3825482234004156,0.928651585104813,0.928651585104813,0.928651585104813,-0.48571757788303954,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,raw,identity_consistent,64,26,2,1.020470656350554,0.7631927592862109,0.0,0.0,0.0,1.0,0.7116084643224324,0.0,0.257277897064343,0.7808569955649145,0.3825482234004156,0.928651585104813,0.16545882581860216,0.16545882581860216,-0.48571757788303954,deployable_no_leak,False,False,fixed_predeclared,-1,0
F_high_n_stress,raw,targeted_probe,64,26,9,1.141934537792032,0.16712475613398256,1.0,1.0,0.0,0.0,0.1046548462399276,1.0,0.9748097816580494,0.7808569955649145,0.3825482234004156,0.928651585104813,0.7615268289708305,0.7615268289708305,-0.48571757788303954,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,raw,combined_repair,64,26,52,1.3196527999828418,0.8870634712794649,0.0,0.0,0.0,0.0,0.17937489644368784,0.0,0.43258932870337685,0.7808569955649145,0.3825482234004156,0.928651585104813,0.041588113825348105,0.041588113825348105,-0.48571757788303954,oracle_upper_bound,False,True,fixed_predeclared,-1,0
F_high_n_stress,raw,observable_repair,64,26,52,1.2029628531675967,0.8870634712794649,0.0,0.0,0.0,0.0,0.17937489644368784,0.0,0.3158993818881317,0.7808569955649145,0.3825482234004156,0.928651585104813,0.041588113825348105,0.041588113825348105,-0.48571757788303954,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,raw,random,64,26,41,0.5815638843343396,0.8955527563593645,0.0,0.0,0.0,0.0,0.18733563051368976,0.0,-0.3139888720250249,0.7808569955649145,0.3825482234004156,0.928651585104813,0.03309882874544856,0.03309882874544856,-0.48571757788303954,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,raw,oracle,64,26,37,0.928651585104813,0.928651585104813,0.0,0.0,0.0,0.0,0.0839694604438015,0.0,0.0,0.7808569955649145,0.3825482234004156,0.928651585104813,0.0,0.0,-0.48571757788303954,oracle_upper_bound,True,True,eval_oracle,-1,0
F_high_n_stress,occlusion,raw,64,26,14,1.068987130535528,0.0,1.0,1.0,1.0,0.0,0.17304905851644575,1.0,1.068987130535528,0.6678349308760293,0.4787646631787563,0.932603289586736,0.932603289586736,0.932603289586736,-0.3705866081231266,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,occlusion,identity_consistent,64,26,47,0.9881604493353593,0.8141684682628151,0.0,0.0,0.0,0.0,0.15114942176254295,0.0,0.1739919810725442,0.6678349308760293,0.4787646631787563,0.932603289586736,0.11843482132392091,0.11843482132392091,-0.3705866081231266,deployable_no_leak,False,False,fixed_predeclared,-1,0
F_high_n_stress,occlusion,targeted_probe,64,26,60,0.7963903462293442,0.09717833281867647,1.0,1.0,0.0,0.0,0.1647548384852436,1.0,0.6992120134106677,0.6678349308760293,0.4787646631787563,0.932603289586736,0.8354249567680595,0.8354249567680595,-0.3705866081231266,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,occlusion,combined_repair,64,26,47,1.2383931817258071,0.8141684682628151,0.0,0.0,0.0,0.0,0.15114942176254295,0.0,0.42422471346299206,0.6678349308760293,0.4787646631787563,0.932603289586736,0.11843482132392091,0.11843482132392091,-0.3705866081231266,oracle_upper_bound,False,True,fixed_predeclared,-1,0
F_high_n_stress,occlusion,observable_repair,64,26,47,1.218831750544352,0.8141684682628151,0.0,0.0,0.0,0.0,0.15114942176254295,0.0,0.4046632822815369,0.6678349308760293,0.4787646631787563,0.932603289586736,0.11843482132392091,0.11843482132392091,-0.3705866081231266,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,occlusion,random,64,26,41,0.6658127266102852,0.7481836734620751,0.0,0.0,0.0,1.0,0.7444963233715387,0.0,-0.08237094685178992,0.6678349308760293,0.4787646631787563,0.932603289586736,0.18441961612466085,0.18441961612466085,-0.3705866081231266,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,occlusion,oracle,64,26,38,0.932603289586736,0.932603289586736,0.0,0.0,0.0,0.0,0.1679247350997827,0.0,0.0,0.6678349308760293,0.4787646631787563,0.932603289586736,0.0,0.0,-0.3705866081231266,oracle_upper_bound,True,True,eval_oracle,-1,0
F_high_n_stress,hidden_property,raw,64,26,20,0.9968394386002669,0.18340201107098478,1.0,1.0,0.0,1.0,0.6575987352695248,0.0,0.8134374275292822,0.5775502180764378,0.6789555459758398,0.9079914437238217,0.7245894326528369,0.7245894326528369,-0.6742635842890111,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,hidden_property,identity_consistent,64,26,53,1.0281366642690986,0.763472237485067,0.0,0.0,0.0,1.0,0.7628085495510776,0.0,0.26466442678403157,0.5775502180764378,0.6789555459758398,0.9079914437238217,0.1445192062387547,0.1445192062387547,-0.6742635842890111,deployable_no_leak,False,False,fixed_predeclared,-1,0
F_high_n_stress,hidden_property,targeted_probe,64,26,6,1.017979436989709,0.8659903200868591,0.0,0.0,0.0,0.0,0.22327445791220563,0.0,0.15198911690285,0.5775502180764378,0.6789555459758398,0.9079914437238217,0.04200112363696262,0.04200112363696262,-0.6742635842890111,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,hidden_property,combined_repair,64,26,50,1.3292574236510954,0.8529736242657331,0.0,0.0,0.0,0.0,0.1270529051306243,0.0,0.47628379938536236,0.5775502180764378,0.6789555459758398,0.9079914437238217,0.05501781945808859,0.05501781945808859,-0.6742635842890111,oracle_upper_bound,False,True,fixed_predeclared,-1,0
F_high_n_stress,hidden_property,observable_repair,64,26,50,1.2133862179827626,0.8529736242657331,0.0,0.0,0.0,0.0,0.1270529051306243,0.0,0.3604125937170295,0.5775502180764378,0.6789555459758398,0.9079914437238217,0.05501781945808859,0.05501781945808859,-0.6742635842890111,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,hidden_property,random,64,26,41,0.6586969096651378,0.4732296182133125,0.0,0.0,1.0,0.0,0.21927378108214182,0.0,0.18546729145182533,0.5775502180764378,0.6789555459758398,0.9079914437238217,0.4347618255105092,0.4347618255105092,-0.6742635842890111,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,hidden_property,oracle,64,26,37,0.9079914437238217,0.9079914437238217,0.0,0.0,0.0,0.0,0.2228168959231815,0.0,0.0,0.5775502180764378,0.6789555459758398,0.9079914437238217,0.0,0.0,-0.6742635842890111,oracle_upper_bound,True,True,eval_oracle,-1,0
