experiment,scenario,selector,N,n_seeds,selected_object_score_mean,selected_object_score_ci_low,selected_object_score_ci_high,selected_real_utility_mean,selected_real_utility_ci_low,selected_real_utility_ci_high,identity_error_mean,identity_error_ci_low,identity_error_ci_high,swap_rate_mean,swap_rate_ci_low,swap_rate_ci_high,merge_split_rate_mean,merge_split_rate_ci_low,merge_split_rate_ci_high,property_error_mean,property_error_ci_low,property_error_ci_high,property_entropy_mean,property_entropy_ci_low,property_entropy_ci_high,occlusion_error_mean,occlusion_error_ci_low,occlusion_error_ci_high,object_real_gap_mean,object_real_gap_ci_low,object_real_gap_ci_high,regret_mean,regret_ci_low,regret_ci_high,oracle_gap_mean,oracle_gap_ci_low,oracle_gap_ci_high,upper_tail_rank_correlation_mean,upper_tail_rank_correlation_ci_low,upper_tail_rank_correlation_ci_high
A_controlled_object_binding,swap,combined_repair,8,16,1.1525791233322793,1.1353587547344763,1.1697994919300823,0.865247186920985,0.8534671948267175,0.8770271790152525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19695962554590452,0.18086052527651572,0.2130587258152933,0.0,0.0,0.0,0.28733193641129423,0.2610325598086437,0.31363131301394476,0.025734061636084472,0.012011396807218725,0.03945672646495022,0.025734061636084472,0.012011396807218725,0.03945672646495022,0.0,0.0,0.0
A_controlled_object_binding,swap,combined_repair,16,16,1.1853979298357955,1.1691667060829993,1.2016291535885917,0.8530558608184481,0.8327511432687587,0.8733605783681375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16743701661467952,0.1445116816839023,0.19036235154545675,0.0,0.0,0.0,0.33234206901734736,0.3011970613372772,0.36348707669741753,0.06575729968484578,0.04448409363389001,0.08703050573580155,0.06575729968484578,0.04448409363389001,0.08703050573580155,-0.6838671852480742,-0.8415247386913748,-0.5262096318047736
A_controlled_object_binding,swap,combined_repair,32,16,1.1934988247285885,1.181976976081061,1.205020673376116,0.8311171947501305,0.8111902100558129,0.851044179444448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15935219831074582,0.13829455181776884,0.1804098448037228,0.0,0.0,0.0,0.3623816299784581,0.335055517523303,0.38970774243361317,0.08990772125433402,0.07110352570268536,0.10871191680598269,0.08990772125433402,0.07110352570268536,0.10871191680598269,-0.5754598783929349,-0.6635295276360071,-0.48739022914986263
A_controlled_object_binding,swap,combined_repair,64,16,1.2107322440358619,1.2019219592266226,1.2195425288451012,0.838883947729351,0.8154335689789454,0.8623343264797567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1472026823492439,0.13203917814008082,0.162366186558407,0.0,0.0,0.0,0.37184829630651095,0.34239448220240415,0.40130211041061775,0.08866958189889848,0.06509325945750241,0.11224590434029455,0.08866958189889848,0.06509325945750241,0.11224590434029455,-0.5208602306240036,-0.5925458306489347,-0.44917463059907237
A_controlled_object_binding,swap,identity_consistent,1,16,0.6684965082856424,0.6100974738274948,0.7268955427437901,0.5932229994865746,0.4309548539497191,0.7554911450234302,0.4375,0.18644970623398982,0.6885502937660102,0.3125,0.07793035859969716,0.5470696414003029,0.0,0.0,0.0,0.0,0.0,0.0,0.160323598046492,0.14628863799462555,0.17435855809835843,0.0,0.0,0.0,0.07527350879906776,-0.0939790688897562,0.2445260864878917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_controlled_object_binding,swap,identity_consistent,2,16,0.7554996184702125,0.7116117110107726,0.7993875259296525,0.5810167274664908,0.42852571324536587,0.7335077416876157,0.375,0.13,0.62,0.3125,0.07793035859969716,0.5470696414003029,0.0,0.0,0.0,0.125,-0.042366862510673425,0.29236686251067345,0.2449512647990517,0.15413792937395354,0.33576460022414983,0.0,0.0,0.0,0.1744828910037216,0.021685629193064493,0.3272801528143787,0.19050135995437315,0.05837718375910303,0.3226255361496433,0.19050135995437315,0.05837718375910303,0.3226255361496433,0.0,0.0,0.0
A_controlled_object_binding,swap,identity_consistent,4,16,0.8538130736084224,0.8030529332984518,0.904573213918393,0.5295198534229457,0.37649492754303404,0.6825447793028574,0.375,0.13,0.62,0.25,0.03086533820502063,0.46913466179497937,0.0,0.0,0.0,0.375,0.13,0.62,0.36611541421335786,0.23218535154637532,0.5000454768803404,0.0,0.0,0.0,0.3242932201854767,0.15494313520680794,0.49364330516414545,0.34819914904188753,0.19814814592322752,0.4982501521605476,0.34819914904188753,0.19814814592322752,0.4982501521605476,0.0,0.0,0.0
A_controlled_object_binding,swap,identity_consistent,8,16,0.8887459351784659,0.8503435763281546,0.9271482940287772,0.5136604775988721,0.3427093639413532,0.684611591256391,0.375,0.13,0.62,0.375,0.13,0.62,0.0,0.0,0.0,0.625,0.38,0.87,0.5217938549038774,0.3899745516002714,0.6536131582074834,0.0,0.0,0.0,0.3750854575795938,0.19554516030547386,0.5546257548537137,0.3773207709581974,0.20525777233402884,0.5493837695823659,0.3773207709581974,0.20525777233402884,0.5493837695823659,0.0,0.0,0.0
A_controlled_object_binding,swap,identity_consistent,16,16,0.929296901290406,0.9055734247911014,0.9530203777897106,0.5365119115671999,0.3764134273018344,0.6966103958325653,0.3125,0.07793035859969716,0.5470696414003029,0.25,0.03086533820502063,0.46913466179497937,0.0,0.0,0.0,0.625,0.38,0.87,0.5215462010276543,0.38840640184747144,0.6546860002078371,0.0,0.0,0.0,0.39278498972320613,0.23039943248826714,0.5551705469581452,0.382301248936094,0.22279777190314828,0.5418047259690397,0.382301248936094,0.22279777190314828,0.5418047259690397,-0.6838671852480742,-0.8415247386913748,-0.5262096318047736
A_controlled_object_binding,swap,identity_consistent,32,16,0.9839172510374556,0.9623423388372253,1.005492163237686,0.3841391971626088,0.22233980143205434,0.5459385928931633,0.5,0.2469650880477821,0.753034911952218,0.375,0.13,0.62,0.0,0.0,0.0,0.75,0.5308653382050206,0.9691346617949794,0.5934779223417547,0.4661911785963406,0.7207646660871687,0.0,0.0,0.0,0.599778053874847,0.4324589341416394,0.7670971736080545,0.5368857188418557,0.3747048913254773,0.699066546358234,0.5368857188418557,0.3747048913254773,0.699066546358234,-0.5754598783929349,-0.6635295276360071,-0.48739022914986263
