experiment,scenario,N,selector,baseline,n_pairs,mean_gain,gain_ci_low,gain_ci_high,wins,losses,ties,win_rate,sign_test_p,paired_effect_size
A_controlled_object_binding,merge_split,16,identity_consistent,raw,16,0.5749952336673672,0.4556193964602881,0.6943710708744462,16,0,0,1.0,3.0517578125e-05,2.3601733071682456
A_controlled_object_binding,merge_split,32,identity_consistent,raw,16,0.5769935388271131,0.4517825581938223,0.702204519460404,16,0,0,1.0,3.0517578125e-05,2.258003512114613
A_controlled_object_binding,merge_split,64,identity_consistent,raw,16,0.6024052309451104,0.48550700071814235,0.7193034611720786,15,0,1,0.9375,6.103515625e-05,2.5250900940928633
A_controlled_object_binding,occlusion,1,identity_consistent,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,occlusion,2,identity_consistent,raw,16,0.15525015400699604,0.013750181132477585,0.2967501268815145,5,0,11,0.3125,0.0625,0.5376154773604718
A_controlled_object_binding,occlusion,4,identity_consistent,raw,16,0.2972413575811372,0.11457870960165273,0.4799040055606216,7,0,9,0.4375,0.015625,0.7973620596539012
A_controlled_object_binding,occlusion,8,identity_consistent,raw,16,0.41488050790746617,0.22868773411079765,0.6010732817041347,10,0,6,0.625,0.001953125,1.0918331830464187
A_controlled_object_binding,occlusion,16,identity_consistent,raw,16,0.49309501499423963,0.32029750469094265,0.6658925252975366,11,0,5,0.6875,0.0009765625,1.39826411227273
A_controlled_object_binding,occlusion,32,identity_consistent,raw,16,0.5235228994576485,0.38885977846647035,0.6581860204488267,13,0,3,0.8125,0.000244140625,1.9049478346120678
A_controlled_object_binding,occlusion,64,identity_consistent,raw,16,0.5326037099110157,0.3952635938291573,0.669943825992874,13,0,3,0.8125,0.000244140625,1.9002155036831998
A_controlled_object_binding,raw,1,identity_consistent,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,raw,2,identity_consistent,raw,16,0.019836018016844262,-0.05382050088315769,0.09349253691684621,2,1,13,0.125,1.0,0.1319591120162676
A_controlled_object_binding,raw,4,identity_consistent,raw,16,0.2190088359916691,0.07700440799356767,0.3610132639897705,7,0,9,0.4375,0.015625,0.7557111503406966
A_controlled_object_binding,raw,8,identity_consistent,raw,16,0.4930535264906461,0.31558554321401033,0.6705215097672819,12,1,3,0.75,0.00341796875,1.361351064680879
A_controlled_object_binding,raw,16,identity_consistent,raw,16,0.40659164340140524,0.2438513210084602,0.5693319657943503,13,0,3,0.8125,0.000244140625,1.2242196791624727
A_controlled_object_binding,raw,32,identity_consistent,raw,16,0.36808943746717837,0.1874859886712679,0.5486928862630889,10,0,6,0.625,0.001953125,0.998673201211878
A_controlled_object_binding,raw,64,identity_consistent,raw,16,0.6032132809801902,0.4259016174700597,0.7805249444903207,13,0,3,0.8125,0.000244140625,1.6669772412541033
A_controlled_object_binding,swap,1,identity_consistent,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,swap,2,identity_consistent,raw,16,0.10992146087606074,-0.010738912655081659,0.23058183440720315,3,1,12,0.1875,0.625,0.44638943385475366
A_controlled_object_binding,swap,4,identity_consistent,raw,16,0.2793988205880382,0.1489906700416097,0.40980697113446674,10,0,6,0.625,0.001953125,1.0498225878864607
A_controlled_object_binding,swap,8,identity_consistent,raw,16,0.3632059203931067,0.21559431625503162,0.5108175245311817,10,0,6,0.625,0.001953125,1.2056701235097296
A_controlled_object_binding,swap,16,identity_consistent,raw,16,0.4130439833843437,0.2652779032446738,0.5608100635240136,11,0,5,0.6875,0.0009765625,1.3696753115940137
A_controlled_object_binding,swap,32,identity_consistent,raw,16,0.319496039773828,0.15732810067791536,0.48166397886974066,10,0,6,0.625,0.001953125,0.9653761425467948
A_controlled_object_binding,swap,64,identity_consistent,raw,16,0.4015446238300562,0.2532605281659249,0.5498287194941874,13,0,3,0.8125,0.000244140625,1.3268912272452253
A_controlled_object_binding,good,1,oracle,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,good,2,oracle,raw,16,0.03635682057788906,0.017516274839563802,0.055197366316214316,11,0,5,0.6875,0.0009765625,0.9455587078312099
A_controlled_object_binding,good,4,oracle,raw,16,0.24634327744444656,0.09118324936229746,0.40150330552659563,14,0,2,0.875,0.0001220703125,0.7779594231825618
A_controlled_object_binding,good,8,oracle,raw,16,0.1485504124777693,0.0408376757302137,0.2562631492253249,16,0,0,1.0,3.0517578125e-05,0.6757761831333176
A_controlled_object_binding,good,16,oracle,raw,16,0.1969647849602179,0.08818099673999394,0.3057485731804419,16,0,0,1.0,3.0517578125e-05,0.8871978647693766
