experiment,scenario,selector,N,seed,selected_candidate_id,selected_object_score,selected_real_utility,identity_error,swap_rate,merge_split_rate,property_error,property_entropy,occlusion_error,object_real_gap,candidate_mean_score,candidate_mean_real_utility,candidate_best_real_utility,regret,oracle_gap,upper_tail_rank_correlation,repair_tier,uses_real_utility_features,uses_hidden_features,hyperparameter_source,split_seed,final_test
A_controlled_object_binding,good,targeted_probe,16,13,5,0.7426908131878057,0.7892882531922403,0.0,0.0,0.0,0.0,0.11507925261144221,0.0,-0.046597440004434554,0.5308295491575661,0.8401829087084316,0.9081730122045529,0.11888475901231266,0.11888475901231266,-0.33771591758849234,support_covered,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,combined_repair,16,13,2,1.1945200681777848,0.8428176644849962,0.0,0.0,0.0,0.0,0.16596472644462973,0.0,0.3517024036927886,0.5308295491575661,0.8401829087084316,0.9081730122045529,0.06535534771955676,0.06535534771955676,-0.33771591758849234,oracle_upper_bound,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,observable_repair,16,13,8,1.198192979663411,0.8542247371560405,0.0,0.0,0.0,0.0,0.20045394342408784,0.0,0.34396824250737046,0.5308295491575661,0.8401829087084316,0.9081730122045529,0.053948275048512406,0.053948275048512406,-0.33771591758849234,support_covered,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,random,16,13,14,0.5036835130027703,0.9081730122045529,0.0,0.0,0.0,0.0,0.20920694033519616,0.0,-0.4044894992017827,0.5308295491575661,0.8401829087084316,0.9081730122045529,0.0,0.0,-0.33771591758849234,deployable_no_leak,False,False,none,-1,0
A_controlled_object_binding,good,oracle,16,13,14,0.9081730122045529,0.9081730122045529,0.0,0.0,0.0,0.0,0.20920694033519616,0.0,0.0,0.5308295491575661,0.8401829087084316,0.9081730122045529,0.0,0.0,-0.33771591758849234,oracle_upper_bound,True,True,eval_oracle,-1,0
A_controlled_object_binding,good,raw,32,13,5,0.7877321758028706,0.7780076316119776,0.0,0.0,0.0,0.0,0.19765443760099377,0.0,0.00972454419089297,0.5219496011537426,0.8529655408322918,0.9291052307541972,0.15109759914221954,0.15109759914221954,-0.5534704068592119,deployable_no_leak,False,False,none,-1,0
A_controlled_object_binding,good,identity_consistent,32,13,5,0.9879801758028706,0.7780076316119776,0.0,0.0,0.0,0.0,0.19765443760099377,0.0,0.20997254419089295,0.5219496011537426,0.8529655408322918,0.9291052307541972,0.15109759914221954,0.15109759914221954,-0.5534704068592119,deployable_no_leak,False,False,fixed_predeclared,-1,0
A_controlled_object_binding,good,property_calibrated,32,13,5,0.6927379004854977,0.7780076316119776,0.0,0.0,0.0,0.0,0.19765443760099377,0.0,-0.08526973112647995,0.5219496011537426,0.8529655408322918,0.9291052307541972,0.15109759914221954,0.15109759914221954,-0.5534704068592119,deployable_no_leak,False,False,fixed_predeclared,-1,0
A_controlled_object_binding,good,targeted_probe,32,13,5,0.8171236257215945,0.7780076316119776,0.0,0.0,0.0,0.0,0.19765443760099377,0.0,0.03911599410961686,0.5219496011537426,0.8529655408322918,0.9291052307541972,0.15109759914221954,0.15109759914221954,-0.5534704068592119,support_covered,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,combined_repair,32,13,7,1.2228236687876168,0.8183682075750925,0.0,0.0,0.0,0.0,0.1406184054297758,0.0,0.4044554612125243,0.5219496011537426,0.8529655408322918,0.9291052307541972,0.11073702317910461,0.11073702317910461,-0.5534704068592119,oracle_upper_bound,False,True,fixed_predeclared,-1,0
